Artis,Judul,Lirik
Arctic Monkeys,Piledriver Waltz,"I etched the face of a stopwatch on the back of a raindrop
And did a swap for the sand in an hourglass
I heard an unhappy ending, it sort of sounds like you leaving
I heard the piledriver waltz, it woke me up this morning
You look like you've been for breakfast at the heartbreak hotel
And sat in the back booth by the pamphlets and the literature on how to lose
Your waitress was miserable and so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes
Mysteries flashing amber go green when you answer
But the red on the rest of the questionnaire never changes
I heard the news that you're planning to shoot me out of a cannon
I heard the piledriver waltz, it woke me up this morning
You look like you've been for breakfast at the heartbreak hotel
And sat in the back booth by the pamphlets and the literature on how to lose
Your waitress was miserable and so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes
Oh-oh, oh-oh
Piledriver"
Arctic Monkeys,No.1 Party Anthem,"So you're on the prowl wondering whether
She left already or not
Leather jacket, collar popped like Cantonna
Never knowing when to stop
Sunglasses indoors, par for the course
Lights in the floors and sweat on the walls
Cages and poles
Call off the search for your soul
Or put it on hold again
She's having a sly indoor smoke
And she calls the folks who run this, her oldest friends
Sipping a drink and laughing at imaginary jokes
As all the signals are sent, her eyes invite you to approach
And it seems as though those lumps in your throat
That you just swallowed have got you going
Come on, come on, come on
Come on, come on, come on
Number one party anthem
She's a certified mind blower
Knowing full well that I don't
May suggest there's somewhere from which I might know her
Just to get the ball to roll
Drunken monologues, confused because
It's not like I'm falling in love, I just want ya
To do me no good
And you look like you could
Come on, come on, come on
Come on, come on, come on
Number one party anthem
Come on, come on, come on
Before the moment's gone
Number one party anthem, yeah, yeah
The look of love, the rush of blood
The ""She's with me""'s, the Gallic shrug
The shutterbugs, the Camera Plus
The black & white and the color dodge
The good time girls, the cubicles
The house of fun, the number one
Party anthem, oh
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Before the moment's gone
Number one party anthem
Number one party anthem
Number one party anthem
Yeah, yeah"
Arctic Monkeys,Cornerstone,"I thought I saw you in the Battleship
But it was only a look alike
She was nothing but a vision trick
Under the warning light
She was close
Close enough to be your ghost
But my chances turned to toast
When I asked her if I could call her your name
I thought I saw you in the Rusty Hook
Huddled up in wicker chair
I wandered up for a closer look
And kissed whoever was sitting there
She was close
And she held me very tightly
'Til I asked awfully politely
""Please, can I call you her name?""
And I elongated my lift home
Yeah, I let him go the long way 'round
I smelt your scent on the seatbelt
And kept my shortcuts to myself
I thought I saw you in the Parrot's Beak
Messin' with the smoke alarm
It was too loud for me to hear her speak
And she had a broken arm
It was close
So close that the walls were wet
And she wrote it out in Letraset
""No, you can't call me her name""
Tell me, where's your hiding place?
I'm worried I'll forget your face
And I've asked everyone
I'm beginning to think I imagined you all along
I elongated my lift home
Yeah, I let him go the long way 'round
I smelt your scent on the seatbelt
And kept my shortcuts to myself
I saw your sister in the Cornerstone
On the phone to the middle man
When I saw that she was on her own
I thought she might understand
That she was close
Well, you couldn't get much closer
She said, ""I'm really not supposed to, but yes
You can call me anything you want"""
Bruno mars,The Lazy Song,"Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anythingUh, I'm gonna kick my feet up, then stare at the fan
Turn the TV on, throw my hand in my pants
Nobody's gon' tell me I can't, noI'll be lounging on the couch, just chillin' in my Snuggie
Click to MTV so they can teach me how to Dougie
'Cause in my castle I'm the freaking manOh, yes, I said it, I said it, I said it 'cause I canToday I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anythingNothing at all
Woo, ooh, woo, ooh, ooh
Nothing at all
Woo, ooh, woo, ooh, oohTomorrow I'll wake up, do some P90X
Meet a really nice girl, have some really nice sex
And she's gonna scream out ""This is great""
(Oh my God, this is great) YeahI might mess around and get my college degree
I bet my old man will be so proud of me
But sorry, pops, you'll just have to waitOh, yes, I said it, I said it, I said it 'cause I canToday I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anythingNo, I ain't gonna comb my hair
'Cause I ain't goin' anywhere
No, no, no, no, no, no, no, no, no, ohI'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeahOh, today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anything
Nothing at allWoo, ooh, woo, ooh, ooh
Nothing at all
Woo, ooh, woo, ooh, ooh
Nothing at all"
The Chainsmokers,Paris,"We were staying in Paris
To get away from your parents
And I thought, ""Wow, if I could take this in a shot right now
I don't think that we could work this out""
Out on the terrace
I don't know if it's fair, but I thought
""How could I let you fall by yourself
While I'm wasted with someone else?""If we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down, then we go down together
We'll get away with everything
Let's show them we are betterLet's show them we are better
Let's show them we are betterWe were staying in Paris
To get away from your parents
You look so proud standing there, with a frown and a cigarette
Posting pictures of yourself on the internet
Out on the terrace
We breathe in the air of this small town
On our own, cutting class for the thrill of it
Getting drunk on the past we were livin' inIf we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down, then we go down together
We'll get away with everything
Let's show them we are betterLet's show them we are
Show them we are
Show them we are
Show them we are
Let's show them we are better
We were staying in ParisLet's show them we are better
Let's show them we are
Show them we are
Show them we are
Show them we are
Let's show them we are betterIf we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down, then we go down together
We'll get away with everything
Let's show them we are betterWe were staying in Paris (if we go down)
We were staying in Paris (if we go down)
We were staying in Paris (if we go down)
We were staying in Paris (if we go down)
Let's show them we are better (we were staying in Paris)Let's show them we are betterLet's show them we are betterIf we go down
Let's show them we are better
If we go down
Let's show them we are better
If we go down
Let's show them we are better
Let's show them we are better"
Owl City,Up To The Cloud,"I'm seeking the truth to set you free
And to save you, I'll risk it all
One wrong move away from tragedy
But I'll catch you if you fall
I want to return to the real world
For life to be normal againThough the sky has gone black
I'll never turn back
You're under attack
But I'll never turn backWhen we start, we won't stop
'Cause we're cyber punk rock
Cruising random access memory lane
Save the world and good luck
When the server backs up
Clone your mind and ride the digital trainIf I get lost in the crowd
Back me up to the cloud
Loading faster than light
We were made to burn bright
And you know there's nothing holding us downThere's danger and darkness all around
And the odds are I'll crash and burn
But I won't go back or give up now
'Cause if I fail, you won't return
I'll fight to the death for survival
For life to be normal againThough the sky has gone black
I'll never turn back
You're under attack
But I'll never turn backWhen we start, we won't stop
'Cause we're cyber punk rock
Cruising random access memory lane
Save the world and good luck
When the server backs up
Clone your mind and ride the digital trainIf I get lost in the crowd
Back me up to the cloud
Loading faster than light
We were made to burn bright
And you know there's nothing holding us downI'll lay down my life to protect you
So you can be normal again
So, don't ever lose hope
I'll bring you back home"
Nickelback,Photograph,"Look at this photograph
Every time I do, it makes me laugh
How did our eyes get so red?
And what the hell is on Joey's head?

And this is where I grew up
I think the present owner fixed it up
I never knew we'd ever went without
The second floor is hard for sneaking out

And this is where I went to school
Most of the time had better things to do
Criminal record says I broke in twice
I must have done it half a dozen times

I wonder if it's too late
Should I go back and try to graduate?
Life's better now than it was back then
If I was them, I wouldn't let me in

Oh, whoa, whoa
Oh, God, I...

Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye

Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye

Goodbye

Remember the old arcade
Blew every dollar that we ever made
The cops hated us hangin' out
They say, ""Somebody went and burned it down""

We used to listen to the radio
And sing along with every song we know
We said, ""Someday we'd find out how it feels
To sing to more than just the steering wheel""

Kim's the first girl I kissed
I was so nervous that I nearly missed
She's had a couple of kids since then
I haven't seen her since God knows when

Oh, whoa, whoa
Oh, God, I...

Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye

Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye

I miss that town, I miss the faces
You can't erase, you can't replace it
I miss it now, I can't believe it
So hard to stay, too hard to leave it

If I could relive those days
I know the one thing that would never change

Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye

Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye

Look at this photograph
Every time I do, it makes me laugh
Every time I do, it makes me..."
Bruno Mars,Just the way you are,"Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her tryin'
She's so beautiful and I tell her everyday
Yeah, I know, I know
When I compliment her, she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause girl, you're amazing
Just the way you are
Yeah

Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates, but I think it's so sexy
She's so beautiful and I tell her everyday
Oh, you know, you know
You know I'd never ask you to change
If perfect's what you're searchin' for, then just stay the same
So don't even bother askin' if you look okay
You know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause girl, you're amazing
Just the way you are
Yeah"
Imagine Dragon,Demons ,"When the days are cold
And the cards all fold
And the saints we see are all made of gold
When your dreams all fail
And the ones we hail
Are the worst of all, and the blood's run stale

I wanna hide the truth
I wanna shelter you
But with the beast inside
There's nowhere we can hide
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide

At the curtain's call
It's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave
And the masquerade
Will come calling out at the mess you've made

Don't wanna let you down
But I am hell-bound
Though this is all for you
Don't wanna hide the truth
No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide

They say it's what you make
I say it's up to fate
It's woven in my soul
I need to let you go
Your eyes, they shine so bright
I wanna save that light
I can't escape this now
Unless you show me how

When you feel my heat, look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide
It's where my demons hide"
bring me the horizon,Sleepwalking ,"My secrets are burning a hole through my heart
And my bones catch a fever
When it cuts you up this deep
It's hard to find a way to breathe
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking
I'm at the edge of the world
Where do I go from here? Do I disappear?
Edge of the world
Should I sink or swim? Or simply disappear?
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe, sing it
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking
Wake up
Take my hand and give me a reason to start again
Wake up
Pull me out and give me a reason to start again
Time stands still
Time stands still
(Time stands still)
(Time stands still)
Your eyes are swallowing me
Mirrors start to whisper, shadows start to sing
My skin's smothering me
Help me find a way to breathe
Time stood still the way it did before
It's like I'm sleepwalking
Fell into another hole again
It's like I'm sleepwalking (it's like I'm sleepwalking)
Time stood still the way it did before
It's like I'm sleepwalking"
linkin park ,A Place for my head,"I watch how the moon
Sits in the sky in the dark night
Shining with the light from the sun
And the sun doesn't give light to the moon assuming
The moon's going to owe it one
It makes me think of how you act to me
You do
Favors then rapidly, you just
Turn around and start asking me about
Things you want back from me
I'm sick of the tension, sick of the hunger
Sick of you acting like I owe you this
Find another place to feed your greed
While I find a place to rest
I want to be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I want to be in the energy, not with the enemy
A place for my head
Maybe someday I'll be just like you and
Step on people like you do and
Run away all the people I thought I knew
I remember back then who you were
You used to be calm, used to be strong
Used to be generous but you should've known
That you'd
Wear out your welcome now you see
How quiet it is all alone
I'm so
Sick of the tension, sick of the hunger
Sick of you acting like I owe you this
Find another place to feed your greed
While I find a place to rest
I'm so
Sick of the tension, sick of the hunger
Sick of you acting like I owe you this
Find another place to feed your greed
While I find a place to rest
I want to be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I want to be in the energy, not with the enemy
A place for my head
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
You try to take the best of me
Go away
I want to be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I want to be in the energy, not with the enemy
A place for my head
Stay away
I'm so sick of the tension, sick of the hunger (stay)
Sick of you acting like I owe you this
Find another place to feed your greed (a-)
While I find a place to rest
I'm so sick of the tension, sick of the hunger (-way)
Sick of you acting like I owe you this
Find another place, to feed your greed (stay away from me)
While I find a place to rest"
Slipknot,The Heretic Anthem ,"Eight, seven, six, six, six
Five, four, three, two, one, zero
Yeah
I'm a popstar threat and I'm not dead yet
Got a super dread bet with an angel drug head
Like a dead beat winner, I wanna be a sinner
An idolized bang for the industry killer
A hideous man that you don't understand
Throw a suicide party and I'm guaranteed to fucking snap
It's evil sonic, it's pornoholic
Breakdowns, obscenities its all I want to be
If you're 555, then I'm 666
If you're 555, I'm 666
But if you're 555, I'm 666
What's it like to be a heretic?
If you're 555, I'm 666
What's it like to be a heretic?
Everybody's so infatuated
Everybody's so completely sure of what we are
Everybody defamates from miles away
But face to face they haven't got a thing to say
I bleed for this and I bleed for you
Still you look at my face like I'm somebody new
Toy, nobody wants anything I've got
Which is fine because you're made of everything I'm not
If you're 555, then I'm 666
If you're 555, I'm 666
Well if you're 555, I'm 666
What's it like to be a heretic?
If you're 555, I'm 666
What's it like to be a heretic? Yeah
Heretic, yeah
Thirty seconds, sixteen, eight, four, lemme tell you why
I haven't the slightest, I'm teaching your brightest
They're listening, clamoring
All the money in the world can't buy me
Go ahead, lie to me
Tell me again how you're tortured
I want to know how you fallowed your orders so well
You're full of shit
You had a dream, but this ain't it
If you're 555, I'm 666
If you're 555, I'm 666
If you're 555, I'm 666
If you're 555, I'm 666
If you're 555, then I'm 666
What's it like to be a heretic?
If you're 555, then I'm 666
What's it like to be a heretic?
If you're 555, I'm 666
What's it like to be a heretic?
If you're 555, then I'm 666
What's it like to be a heretic?
Heretic, yeah"
