trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
1,1385,34.68,5,8,4,0.019494585,0.025039711,0.185185185,1
3,983,14.07,2,4,0,0.019328586,0.014313327,0.105263158,0
1,768,7.24,4,10,3,0.014322917,0.009427083,0.363636364,0
1,1474,60.64,9,0,5,0.012890095,0.041139756,0.473684211,0
6,692,21.65,7,7,5,0.021676301,0.031286127,0.466666667,0
2,351,50.75,1,7,0,0.045584046,0.144586895,0.0625,0
1,107,39.55,1,6,4,0.252336449,0.369626168,0.037037037,0
5,1237,48.22,7,2,3,0.008084074,0.038981407,0.7,0
2,1450,62.63,5,9,3,0.010344828,0.043193103,0.333333333,0
5,508,57.9,2,7,0,0.027559055,0.113976378,0.142857143,0
1,1748,26.31,0,9,1,0.008581236,0.015051487,0,0
6,1000,61.24,7,3,0,0.009,0.06124,0.777777778,0
1,1123,28.94,1,0,5,0.013357079,0.025770258,0.066666667,0
1,232,18.27,9,5,2,0.00862069,0.07875,4.5,0
2,1327,7.02,7,1,5,0.018839488,0.005290128,0.28,0
6,449,21,5,4,2,0.002227171,0.046770601,5,0
4,1228,3.17,7,4,4,0.024429967,0.002581433,0.233333333,0
1,861,31.34,11,3,0,0.023228804,0.036399535,0.55,0
5,70,40.04,1,1,4,0.4,0.572,0.035714286,0
6,1154,57.64,7,10,4,0.017331023,0.049948007,0.35,0
3,1393,99.58,1,8,0,0.013639627,0.071486001,0.052631579,0
2,1068,23.64,4,0,1,0.013108614,0.022134831,0.285714286,0
6,300,93.04,4,4,3,0.033333333,0.310133333,0.4,0
2,250,33.95,11,10,3,0.056,0.1358,0.785714286,0
4,1411,49.25,2,8,4,0.002834869,0.034904323,0.5,0
4,1279,89.11,0,0,3,0.010946052,0.069671618,0,0
3,1771,2.51,3,1,4,0.005081875,0.001417278,0.333333333,0
3,1642,6.25,7,8,2,0.004872107,0.003806334,0.875,0
3,1018,27.26,1,9,0,0.023575639,0.026777996,0.041666667,0
3,44,78.64,1,10,1,0.090909091,1.787272727,0.25,0
3,550,84.57,6,0,3,0.04,0.153763636,0.272727273,0
2,109,24.32,10,0,5,0.100917431,0.223119266,0.909090909,0
3,1660,12.58,6,5,1,0.009036145,0.007578313,0.4,0
2,1078,58.61,9,10,3,0.00742115,0.054369202,1.125,0
2,1464,58.21,8,3,0,0.017759563,0.039760929,0.307692308,0
5,1228,85.93,11,0,1,0.016286645,0.06997557,0.55,0
6,1790,70.66,5,1,0,0.00726257,0.03947486,0.384615385,0
5,1052,67.09,6,2,4,0.018060837,0.063773764,0.315789474,0
1,996,71.94,7,0,1,0.027108434,0.072228916,0.259259259,1
2,1515,7.69,11,4,1,0.013861386,0.005075908,0.523809524,0
6,1245,22.06,4,7,4,0.008032129,0.017718876,0.4,0
2,952,0.58,8,5,0,0.016806723,0.000609244,0.5,0
5,1570,47.79,4,10,5,0.001273885,0.03043949,2,0
3,1599,36.79,9,5,3,0.010006254,0.02300813,0.5625,0
2,1305,87.65,7,8,4,0.021455939,0.067164751,0.25,1
6,122,14.32,1,5,5,0.114754098,0.117377049,0.071428571,0
6,861,97.36,6,9,5,0.009291521,0.113077816,0.75,0
6,1577,78.41,4,6,1,0.014584654,0.049720989,0.173913043,0
4,597,45.98,0,4,4,0.028475712,0.077018425,0,0
1,1319,37.1,7,7,0,0.014404852,0.028127369,0.368421053,0
1,1335,38.95,5,1,3,0.01423221,0.02917603,0.263157895,0
6,894,77.5,6,6,4,0.011185682,0.086689038,0.6,0
5,533,0.28,6,0,2,0.003752345,0.000525328,3,0
3,1636,70.4,8,9,4,0.009168704,0.043031785,0.533333333,0
3,185,98.96,4,2,1,0.145945946,0.534918919,0.148148148,0
4,113,23.38,11,10,0,0.159292035,0.206902655,0.611111111,0
4,1814,52.98,3,7,4,0.007166483,0.029206174,0.230769231,0
4,477,1.36,10,1,1,0.044025157,0.002851153,0.476190476,0
6,1123,33.03,10,6,3,0.005342832,0.029412289,1.666666667,0
2,1278,98.78,2,3,1,0.006259781,0.077292645,0.25,0
3,1171,90.98,8,1,0,0.013663535,0.077694278,0.5,0
4,1175,77.42,0,5,3,0.011914894,0.065889362,0,0
2,1094,91.26,9,0,3,0.006398537,0.083418647,1.285714286,0
1,990,19.42,1,7,3,0.02020202,0.019616162,0.05,0
5,37,62.17,9,4,4,0.783783784,1.68027027,0.310344828,0
5,356,68.03,5,3,5,0.019662921,0.191095506,0.714285714,0
6,493,86.24,6,0,3,0.036511156,0.174929006,0.333333333,0
3,654,85.68,4,10,3,0.001529052,0.131009174,4,0
2,509,85.16,1,5,3,0.031434185,0.167308448,0.0625,0
4,580,89.67,3,7,1,0.029310345,0.154603448,0.176470588,0
3,435,9.79,2,5,4,0.052873563,0.022505747,0.086956522,0
3,770,58.93,8,0,1,0.02987013,0.076532468,0.347826087,0
5,1786,69.83,6,8,3,0.001119821,0.039098544,3,0
1,485,17.63,10,3,5,0.051546392,0.036350515,0.4,1
5,690,58.35,8,7,3,0.001449275,0.084565217,8,0
6,1059,13.5,6,9,2,0.023607177,0.012747875,0.24,0
4,420,89.92,2,2,3,0.052380952,0.214095238,0.090909091,0
3,1488,53.87,7,9,1,0.017473118,0.036202957,0.269230769,0
5,827,40.5,3,3,4,0.024183797,0.048972189,0.15,0
2,669,13.58,6,7,1,0.002989537,0.020298954,3,0
4,270,78.69,3,0,3,0.092592593,0.291444444,0.12,0
4,466,48.17,8,0,0,0.06223176,0.103369099,0.275862069,0
2,959,11.63,6,10,0,0.026068822,0.012127216,0.24,0
2,282,70.79,4,8,4,0.024822695,0.251028369,0.571428571,0
3,304,12.09,2,8,0,0.029605263,0.039769737,0.222222222,0
3,1237,96.4,3,1,3,0.005658852,0.077930477,0.428571429,0
3,1152,91.91,10,8,5,0.001736111,0.079782986,5,0
5,78,92.86,5,1,5,0.384615385,1.190512821,0.166666667,0
5,726,12.28,2,5,4,0.012396694,0.016914601,0.222222222,0
2,414,98.72,0,5,1,0.031400966,0.238454106,0,0
1,898,2.64,9,3,5,0.033407572,0.002939866,0.3,1
1,788,80.87,0,8,3,0.010152284,0.102626904,0,0
1,1312,51.43,7,1,1,0.007621951,0.039199695,0.7,0
5,106,81.05,2,3,3,0.047169811,0.764622642,0.4,0
4,921,3.39,3,4,2,0.002171553,0.003680782,1.5,0
1,299,42.06,9,8,3,0.030100334,0.140668896,1,0
2,1755,8.32,2,0,4,0.005128205,0.004740741,0.222222222,0
5,798,42.57,11,6,4,0.035087719,0.053345865,0.392857143,0
1,383,37.25,2,10,2,0.070496084,0.097258486,0.074074074,1
2,530,37.36,1,3,3,0.049056604,0.070490566,0.038461538,0
5,1300,22.86,3,7,3,0.01,0.017584615,0.230769231,0
4,1419,58.79,7,9,1,0.006342495,0.041430585,0.777777778,0
3,1741,11.94,7,3,5,0.016657094,0.006858128,0.24137931,0
1,1035,61.75,8,0,0,0.002898551,0.059661836,2.666666667,0
1,818,88.58,7,8,3,0.02200489,0.108288509,0.388888889,0
5,756,8.12,1,1,1,0.001322751,0.010740741,1,0
2,735,89.47,8,9,3,0.03537415,0.121727891,0.307692308,0
5,1262,81.87,4,1,0,0.020602219,0.064873217,0.153846154,0
1,1096,97.39,1,4,1,0.011861314,0.088859489,0.076923077,0
4,767,9.18,8,8,3,0.024771838,0.011968709,0.421052632,0
6,1668,73.58,1,5,3,0.012589928,0.04411271,0.047619048,0
6,488,38.44,8,1,2,0.047131148,0.078770492,0.347826087,0
3,1424,39.11,3,10,5,0.008426966,0.027464888,0.25,0
3,1518,81.03,8,4,2,0.001976285,0.053379447,2.666666667,0
2,569,32.98,4,4,0,0.049209139,0.057961336,0.142857143,0
3,1504,98.66,7,4,0,0.015292553,0.065598404,0.304347826,0
3,1059,36.28,0,6,4,0.001888574,0.034258735,0,0
4,81,51.58,9,3,5,0.185185185,0.636790123,0.6,0
4,1235,40.55,9,2,5,0.000809717,0.032834008,9,0
2,297,91.67,5,6,4,0.084175084,0.308653199,0.2,0
6,2,75.74,6,1,1,4,37.87,0.75,0
2,576,91.74,3,4,3,0.019097222,0.159270833,0.272727273,0
5,1145,85.1,2,9,0,0.018340611,0.074323144,0.095238095,0
5,1138,78.7,3,5,0,0.018453427,0.069156415,0.142857143,0
1,1075,31.95,3,8,0,0.021395349,0.02972093,0.130434783,1
1,1382,36.76,5,7,1,0.016642547,0.026599132,0.217391304,1
3,876,42.68,9,0,2,0.012557078,0.048721461,0.818181818,0
1,219,89.69,3,5,5,0.114155251,0.409543379,0.12,0
5,1439,36.09,3,5,5,0.006254343,0.025079917,0.333333333,0
2,1818,79.15,6,4,0,0.00110011,0.043536854,3,0
1,218,41.93,4,7,2,0.096330275,0.19233945,0.19047619,0
5,793,10.3,8,5,1,0.020176545,0.012988651,0.5,0
4,1437,92.55,11,6,5,0.014613779,0.06440501,0.523809524,0
2,542,22.4,0,1,5,0.003690037,0.041328413,0,0
6,1559,68.32,11,8,5,0.015394484,0.043822963,0.458333333,0
6,671,0.7,4,5,3,0.029806259,0.001043219,0.2,0
5,641,79.14,1,6,1,0.043681747,0.123463339,0.035714286,0
2,277,76.34,5,10,0,0.025270758,0.275595668,0.714285714,0
5,1719,94.59,1,6,3,0.00814427,0.055026178,0.071428571,0
2,249,77.28,9,3,4,0.044176707,0.310361446,0.818181818,0
2,1803,7.51,6,2,0,0.006100943,0.00416528,0.545454545,0
5,165,79.75,2,7,4,0.036363636,0.483333333,0.333333333,0
5,1726,7.75,2,5,3,0.00405562,0.004490151,0.285714286,0
2,1767,25.97,7,5,1,0.009054895,0.014697227,0.4375,0
1,310,65.47,5,5,2,0.051612903,0.211193548,0.3125,0
4,1320,77.93,4,6,1,0.017424242,0.059037879,0.173913043,0
2,796,3.76,1,2,0,0.031407035,0.004723618,0.04,0
5,1559,61.66,7,5,2,0.003848621,0.039550994,1.166666667,0
2,373,28.95,5,2,4,0.067024129,0.077613941,0.2,0
4,1221,93.06,2,2,0,0.010647011,0.076216216,0.153846154,0
3,460,50.97,9,9,4,0.004347826,0.110804348,4.5,0
5,1024,66.64,1,3,0,0.008789063,0.065078125,0.111111111,0
1,1054,75.58,11,5,4,0.020872865,0.07170778,0.5,1
1,198,49.24,1,1,4,0.03030303,0.248686869,0.166666667,0
1,524,38.78,11,3,3,0.040076336,0.074007634,0.523809524,0
6,172,58.21,8,7,5,0.069767442,0.338430233,0.666666667,0
5,1049,77.81,2,7,0,0.005719733,0.074175405,0.333333333,0
6,1603,47.86,9,9,3,0.00062383,0.029856519,9,0
4,1718,43.52,3,6,0,0.011641444,0.025331781,0.15,0
4,813,59.43,8,9,2,0.018450185,0.073099631,0.533333333,0
5,1399,61.58,5,10,5,0.011436741,0.044017155,0.3125,0
5,1151,97.79,6,8,1,0.014769765,0.084960904,0.352941176,0
1,909,64.11,8,0,3,0.00550055,0.070528053,1.6,0
1,704,23.16,2,8,3,0.042613636,0.032897727,0.066666667,1
2,1530,8.91,4,3,3,0.013071895,0.005823529,0.2,0
3,13,25.19,10,5,1,1.461538462,1.937692308,0.526315789,0
1,636,38.87,8,0,4,0.028301887,0.061116352,0.444444444,0
6,1434,17.25,0,8,0,0.016039052,0.012029289,0,0
2,1459,77.21,4,1,2,0.017820425,0.052919808,0.153846154,0
5,1123,58.9,8,9,1,0.021371327,0.052448798,0.333333333,0
6,1100,26.82,8,0,2,0.025454545,0.024381818,0.285714286,0
4,352,21.69,10,7,0,0.019886364,0.061619318,1.428571429,0
1,473,15.14,11,1,0,0.054968288,0.032008457,0.423076923,1
2,1597,11.14,2,5,5,0.01377583,0.006975579,0.090909091,0
1,91,0.26,8,6,4,0.307692308,0.002857143,0.285714286,1
4,1821,91.48,7,10,4,0.008786381,0.050236134,0.4375,0
5,709,22.5,9,8,0,0.028208745,0.031734838,0.45,0
1,1537,38.44,5,6,1,0.017566688,0.025009759,0.185185185,1
3,691,33.87,9,5,1,0.030390738,0.049015919,0.428571429,0
2,1698,7.59,6,7,5,0.011189635,0.004469965,0.315789474,0
6,1698,32.22,4,3,3,0.000588928,0.018975265,4,0
3,171,21.51,1,3,5,0.099415205,0.125789474,0.058823529,0
4,216,77.45,3,6,3,0.083333333,0.358564815,0.166666667,0
5,1026,24.44,3,3,0,0.022417154,0.023820663,0.130434783,0
2,1660,13.69,1,3,2,0.012650602,0.008246988,0.047619048,0
4,123,6.72,4,9,4,0.235772358,0.054634146,0.137931034,0
5,635,52.23,9,0,5,0.045669291,0.082251969,0.310344828,0
4,942,90.29,7,1,5,0.018046709,0.095849257,0.411764706,0
4,581,87.17,1,3,1,0.032702238,0.150034423,0.052631579,0
1,439,63.23,10,3,2,0.018223235,0.144031891,1.25,0
5,1469,91.79,1,8,3,0.014295439,0.062484683,0.047619048,0
1,511,28.39,10,5,2,0.023483366,0.05555773,0.833333333,0
6,1796,10.77,1,2,4,0.005011136,0.005996659,0.111111111,0
3,440,49.34,3,5,5,0.011363636,0.112136364,0.6,0
4,467,94.13,3,9,4,0.040685225,0.201563169,0.157894737,0
2,365,20.05,8,10,2,0.035616438,0.054931507,0.615384615,0
5,1720,86.84,4,1,3,0.009883721,0.050488372,0.235294118,0
5,853,23.57,3,3,1,0.011723329,0.027631887,0.3,0
2,705,17.95,4,3,3,0.018439716,0.025460993,0.307692308,0
5,1581,65.84,9,5,4,0.008855155,0.041644529,0.642857143,0
2,880,51.25,0,10,3,0.017045455,0.058238636,0,0
5,247,41.18,5,8,5,0.08097166,0.166720648,0.25,0
3,1365,80.09,8,2,1,0.021245421,0.058673993,0.275862069,0
6,1420,5.34,11,2,2,0.016197183,0.003760563,0.47826087,0
4,928,62.81,8,7,4,0.009698276,0.06768319,0.888888889,0
6,1097,21.77,1,10,0,0.010027347,0.019845032,0.090909091,0
2,454,77.15,1,1,5,0.061674009,0.169933921,0.035714286,0
2,268,98.18,7,0,4,0.093283582,0.366343284,0.28,0
1,637,39.52,10,1,0,0.020408163,0.062040816,0.769230769,0
2,1355,81.16,7,5,0,0.008118081,0.059896679,0.636363636,0
1,1568,2.42,2,6,2,0.006377551,0.001543367,0.2,0
5,838,44.03,11,6,2,0.010739857,0.052541766,1.222222222,0
1,856,15.25,0,3,5,0.001168224,0.017815421,0,0
5,490,32.22,6,4,3,0.055102041,0.065755102,0.222222222,0
2,196,39.11,8,8,4,0.112244898,0.199540816,0.363636364,0
3,594,31.55,6,10,4,0.026936027,0.053114478,0.375,0
6,890,59.49,11,4,4,0.011235955,0.066842697,1.1,0
1,1666,25.6,5,5,3,0.006002401,0.015366146,0.5,0
2,506,86.07,0,6,1,0.023715415,0.170098814,0,0
6,1162,42.24,6,3,3,0.006884682,0.036351119,0.75,0
1,546,23.92,11,2,1,0.032967033,0.043809524,0.611111111,0
6,285,76.75,11,7,3,0.049122807,0.269298246,0.785714286,0
5,475,51.6,0,4,1,0.006315789,0.108631579,0,0
6,127,11.91,10,4,4,0.228346457,0.093779528,0.344827586,0
3,1527,27.08,8,10,1,0.00589391,0.017734119,0.888888889,0
1,618,98.64,11,8,2,0.042071197,0.15961165,0.423076923,1
4,854,81.62,7,0,5,0.026932084,0.09557377,0.304347826,0
2,124,8.18,2,0,2,0.120967742,0.065967742,0.133333333,0
3,1479,4.06,0,4,3,0.010141988,0.002745098,0,0
4,233,83.33,0,0,2,0.030042918,0.357639485,0,0
4,1546,10.98,10,9,2,0.01164295,0.007102199,0.555555556,0
4,1530,77.52,5,3,4,0.005882353,0.050666667,0.555555556,0
6,579,19.6,0,1,1,0.03626943,0.033851468,0,0
6,732,18.93,0,10,2,0.017759563,0.025860656,0,0
4,259,49.63,2,4,1,0.096525097,0.191621622,0.08,0
3,989,22.77,7,7,3,0.025278059,0.023023256,0.28,0
5,580,66.02,9,3,1,0.00862069,0.113827586,1.8,0
6,1624,29.71,5,2,3,0.012315271,0.018294335,0.25,0
2,1813,22.14,8,1,0,0.00551572,0.012211804,0.8,0
1,1830,48.69,10,10,0,0.013661202,0.026606557,0.4,1
6,1325,44.92,2,8,5,0.009811321,0.033901887,0.153846154,0
3,1704,50.7,3,10,2,0.012323944,0.029753521,0.142857143,0
2,1296,39.97,4,1,1,0.015432099,0.030841049,0.2,0
2,888,26.43,9,2,1,0.022522523,0.029763514,0.45,0
2,809,21.21,0,7,5,0.021013597,0.026217553,0,0
5,80,79.55,3,0,5,0.2625,0.994375,0.142857143,0
1,339,80.28,8,1,2,0.085545723,0.236814159,0.275862069,0
4,1628,65.1,0,5,5,0.002457002,0.039987715,0,0
1,1225,96.92,9,7,5,0.024489796,0.079118367,0.3,1
5,1342,13.19,11,9,2,0.005216095,0.009828614,1.571428571,0
3,1051,26.24,11,1,3,0.024738344,0.024966698,0.423076923,0
4,259,23.83,4,5,5,0.030888031,0.092007722,0.5,0
3,751,68.27,7,1,3,0.033288948,0.090905459,0.28,0
6,715,14,11,6,0,0.013986014,0.01958042,1.1,0
2,1048,45.74,3,5,5,0.004770992,0.043645038,0.6,0
1,357,85.61,10,9,1,0.06442577,0.239803922,0.434782609,0
2,1147,70.69,8,9,5,0.004359198,0.06163034,1.6,0
1,1362,89.74,8,6,5,0.002202643,0.065888399,2.666666667,0
6,318,39.67,6,9,5,0.028301887,0.124748428,0.666666667,0
2,43,94.91,10,1,4,0.325581395,2.207209302,0.714285714,0
4,383,71.94,3,3,5,0.007832898,0.187832898,1,0
3,1329,57.14,5,7,1,0.020316027,0.042994733,0.185185185,0
5,598,13.13,11,3,2,0.005016722,0.021956522,3.666666667,0
2,758,18.6,6,8,5,0.006596306,0.024538259,1.2,0
2,1783,78.3,11,3,3,0.003365115,0.04391475,1.833333333,0
6,109,20.55,4,10,1,0.100917431,0.18853211,0.363636364,0
5,40,43.72,0,8,5,0.025,1.093,0,0
4,1516,73.82,2,2,3,0.001978892,0.048693931,0.666666667,0
6,791,23.22,8,2,3,0.037926675,0.029355247,0.266666667,0
5,32,51.73,3,6,2,0.40625,1.6165625,0.230769231,0
4,911,24.53,4,0,3,0.023051592,0.026926454,0.19047619,0
1,1099,35.31,11,3,2,0.021838035,0.032129208,0.458333333,1
4,46,40.98,9,9,2,0.652173913,0.890869565,0.3,0
1,1250,21.36,7,4,3,0.0032,0.017088,1.75,0
2,42,26.6,8,3,1,0.619047619,0.633333333,0.307692308,0
6,1569,62.42,0,4,1,0.012109624,0.039783301,0,0
1,1244,87.97,3,8,2,0.008038585,0.070715434,0.3,0
1,1499,96.19,9,0,3,0.018012008,0.064169446,0.333333333,1
5,764,91.5,11,2,2,0.027486911,0.119764398,0.523809524,0
2,694,74.11,10,6,4,0.011527378,0.106786744,1.25,0
2,1108,77.25,10,10,0,0.020758123,0.069720217,0.434782609,0
1,1595,11.61,7,8,0,0.002507837,0.007278997,1.75,0
2,1478,75.28,2,3,1,0.0135318,0.050933694,0.1,0
2,895,27.48,11,1,5,0.020111732,0.030703911,0.611111111,0
6,51,1.25,3,1,1,0.294117647,0.024509804,0.2,0
3,1744,78.42,9,8,4,0.017201835,0.044965596,0.3,0
5,1666,79.5,4,5,0,0.00240096,0.047719088,1,0
6,780,63.66,11,3,2,0.021794872,0.081615385,0.647058824,0
3,848,52.37,2,4,0,0.02240566,0.061757075,0.105263158,0
4,741,36.36,3,4,2,0.032388664,0.049068826,0.125,0
2,415,37.77,1,5,1,0.053012048,0.091012048,0.045454545,0
3,1328,93.55,5,4,5,0.021084337,0.070444277,0.178571429,0
4,709,0.23,2,8,3,0.023977433,0.000324401,0.117647059,0
3,136,42.61,6,0,4,0.161764706,0.313308824,0.272727273,0
2,1363,1.84,7,7,4,0.016874541,0.001349963,0.304347826,0
1,1259,78.34,10,6,2,0.011119936,0.062223987,0.714285714,0
4,572,88.48,9,6,4,0.034965035,0.154685315,0.45,0
6,1573,62.05,9,6,5,0.008264463,0.039446917,0.692307692,0
2,933,22.62,7,1,3,0.018220793,0.024244373,0.411764706,0
3,1639,45.02,9,4,5,0.008541794,0.027467968,0.642857143,0
1,189,42.45,6,10,1,0.137566138,0.224603175,0.230769231,1
6,1069,92.12,1,7,4,0.018709074,0.086173994,0.05,0
1,1155,2.24,2,0,2,0.005194805,0.001939394,0.333333333,0
1,424,61.96,5,2,4,0.002358491,0.146132075,5,0
2,623,11.15,5,8,0,0.008025682,0.017897271,1,0
3,1600,89.81,0,2,2,0.000625,0.05613125,0,0
2,968,78.35,8,1,3,0.022727273,0.080940083,0.363636364,0
2,1659,54.7,7,9,4,0.000602773,0.03297167,7,0
3,733,7.35,6,9,4,0.015006821,0.010027285,0.545454545,0
3,1374,51.79,9,0,4,0.000727802,0.037692868,9,0
6,1473,0.01,10,8,0,0.005431093,6.79E-06,1.25,0
5,1487,51.83,3,7,1,0.00134499,0.034855414,1.5,0
3,1754,93.43,4,6,5,0.007981756,0.053266819,0.285714286,0
3,270,85.17,11,1,0,0.033333333,0.315444444,1.222222222,0
3,1331,52.7,6,6,2,0.018031555,0.03959429,0.25,0
1,580,80.49,7,9,0,0.012068966,0.138775862,1,0
2,735,29.79,4,7,2,0.038095238,0.040530612,0.142857143,0
5,641,19.4,5,6,2,0.024960998,0.030265211,0.3125,0
3,1690,3.59,3,9,3,0.013609467,0.00212426,0.130434783,0
4,1662,21.4,3,7,3,0.012033694,0.012876053,0.15,0
4,581,92.87,5,9,2,0.005163511,0.159845095,1.666666667,0
5,494,44.76,1,9,4,0.012145749,0.090607287,0.166666667,0
1,1679,62.67,0,2,4,0.016676593,0.037325789,0,1
5,337,9.35,3,7,3,0.047477745,0.027744807,0.1875,0
4,661,88.58,4,4,1,0.030257186,0.134009077,0.2,0
1,521,89.61,1,0,1,0.055662188,0.171996161,0.034482759,0
3,1072,89.13,0,3,1,0.004664179,0.083143657,0,0
5,1621,53.69,0,7,1,0.016039482,0.03312153,0,0
4,40,25.99,6,5,5,0.35,0.64975,0.428571429,0
5,1106,13.65,4,3,3,0.003616637,0.012341772,1,0
1,153,39.39,4,3,4,0.08496732,0.25745098,0.307692308,0
1,950,25.83,0,1,4,0.031578947,0.027189474,0,1
6,1387,44.83,5,9,1,0.010814708,0.032321557,0.333333333,0
5,1230,41.21,2,8,2,0.006504065,0.033504065,0.25,0
4,982,61.84,10,3,4,0.028513238,0.062973523,0.357142857,0
5,1423,41.76,10,2,2,0.013352073,0.029346451,0.526315789,0
2,1228,73.68,2,6,0,0.013843648,0.06,0.117647059,0
1,1691,90.31,6,5,1,0.012418687,0.053406268,0.285714286,1
6,328,56.33,1,9,0,0.06402439,0.171737805,0.047619048,0
3,261,86.46,9,5,4,0.114942529,0.331264368,0.3,0
6,1359,2.14,3,0,1,0.002943341,0.001574687,0.75,0
3,1190,59.76,6,5,4,0.021008403,0.050218487,0.24,0
3,1236,80.09,3,9,3,0.010517799,0.064797735,0.230769231,0
2,319,61.79,5,2,3,0.018808777,0.19369906,0.833333333,0
4,1260,41.49,10,4,2,0.012698413,0.032928571,0.625,0
2,163,3.81,5,0,3,0.104294479,0.023374233,0.294117647,0
4,676,61.02,6,2,2,0.01183432,0.090266272,0.75,0
3,674,50.15,11,4,0,0.014836795,0.074406528,1.1,0
5,150,87.47,5,6,2,0.066666667,0.583133333,0.5,0
6,172,3,0,6,0,0.081395349,0.01744186,0,0
3,36,32.45,1,4,2,0.111111111,0.901388889,0.25,0
3,784,98.48,3,4,0,0.030612245,0.125612245,0.125,0
2,135,29.17,3,1,5,0.192592593,0.216074074,0.115384615,0
3,684,86.69,5,1,0,0.021929825,0.126739766,0.333333333,0
4,790,64.89,5,9,3,0.020253165,0.082139241,0.3125,0
2,1433,64.76,4,9,1,0.013956734,0.045191905,0.2,0
5,895,83.1,1,4,3,0.003351955,0.092849162,0.333333333,0
1,1428,82.07,9,3,1,0.00140056,0.057471989,4.5,0
3,1099,52.86,10,2,1,0.023657871,0.048098271,0.384615385,0
5,902,54.43,1,4,2,0.033259424,0.060343681,0.033333333,0
5,1808,30.75,4,7,2,0.009402655,0.017007743,0.235294118,0
2,1103,86.78,5,6,0,0.025385313,0.078676337,0.178571429,0
2,1396,2.12,1,1,2,0.013610315,0.001518625,0.052631579,0
